ID,GO
PF3D7_1358300,GO:0020011
PF3D7_1223300,GO:0003918
PF3D7_0629200,GO:0020011
PF3D7_1019400,GO:0003735
PF3D7_1121100,GO:0016459
PF3D7_1248500,GO:0016021
PF3D7_1217100,GO:0003677
PF3D7_1115700,GO:0005515
PF3D7_0611700,GO:0022625
PF3D7_0215900,GO:0008270
PF3D7_0317900,GO:0016021
PF3D7_0726500,GO:0006511
PF3D7_1346700,GO:0016020
PF3D7_0625600,GO:0016779
PF3D7_1041000,GO:0020036
PF3D7_1472600,GO:0045454
PF3D7_0316300,GO:0000287
PF3D7_1421300,GO:0004252
PF3D7_0216800,GO:0005319
PF3D7_1244400,GO:0005634
PF3D7_1105100,GO:0051276
PF3D7_0528300,GO:0005737
PF3D7_1205700,GO:0004416
PF3D7_0517100,GO:0005737
PF3D7_1418000,GO:0006511
PF3D7_1352700,GO:0003677
PF3D7_1336600,GO:0009055
PF3D7_1216000,GO:0004828
PF3D7_0932800,GO:0015031
PF3D7_1450400,GO:0008270
PF3D7_1324900,GO:0019752
PF3D7_0522500,GO:0006412
PF3D7_0424900,GO:0005737
PF3D7_1426200,GO:0005634
PF3D7_0523100,GO:0004222
PF3D7_1200200,GO:0020033
PF3D7_0223400,GO:0020033
PF3D7_1030100,GO:0008380
PF3D7_1240600,GO:0020002
PF3D7_0831300,GO:0005576
PF3D7_1455300,GO:0048256
